"empresa_id","sector","pais","tipo_propiedad","tamano_ciudad","anio_fundacion","empleados","activos_total","pasivos","patrimonio_neto","total_recursos","ingresos","ebitda","ebitda_pct","beneficio_neto","liquidez_ratio","roe","roa","deuda_patrimonio","ventas_por_empleado","innovacion_inversion","innovacion_pct","exportaciones_pct","antiguedad_clientes","diversificacion_score","morosidad_dias","rating_credito","prob_default"
32,"MANUFACTURA","Eslovenia","Familiar","Rural","2014","111",2261.5897095539453,934.8684185336849,1326.7212910202604,2261.5897095539453,1002.8183522522761,102.13515987170202,10.184811600457046,96.68899612470628,"2.86",7.287815216287935,4.275266893736278,0.704645674160217,8.418268866502245,41.597109885715724,4.148020405918066,37.95648528496553,11.82522023466398,48.50122769223993,41.457172261382226,"CCC",10.332430158741772
70,"Manufactura","Francia","Sociedad Anónima","Grande","1997","137",3023.005408457058,1163.4070606910768,1859.598347765981,3023.005408457058,2797.4565521896484,211.70830842249885,7.567885487150417,NA,"2.14",NA,2.776660524456781,0.6256227653077504,15.973941011419136,187.69582132959448,6.709516942548389,58.663207255685876,5.280480902390355,43.95949202780011,29.708328767276747,"BB",2.3182380562648177
374,"textil","Italia","Sociedad Anónima","Mediana","2002","250",11128.402052043533,5239.088990549252,5889.313061494281,11128.402052043533,90991.43634371491,2550.824667382406,20.177966828702115,1159.3202001566142,"1.89",19.68515152873301,10.417669982939964,0.8895925442992074,73.3846078950337,0,0,13.043180029132198,5.946282857450779,44.2007438266568,45.13486972976596,"A",1.3478325781179592
492,"Tecnologia","España","Familiar","Mediana","2012","104",619.3621095722559,281.11660841027015,338.24550116198577,619.3621095722559,916.3391550816531,178.23171697352976,19.45040938009987,69.32483504779105,"2.66",20.49541969062033,11.192940926862347,0.831102283532349,3.0678509363942617,17.789992323935227,1.941420076319886,0,5.018183027560179,84.62447442616005,45.07271767929983,"BB",2.383483503712341
281,"Manufactura","España","Sociedad Limitada","Pequeña","1988","250",25487.601518168718,15876.104550258653,9611.496967910065,25487.601518168718,9332.078118942112,1412.6909325712707,15.13801014699836,907.8509307348329,"0.62",9.44546862747684,3.5619315928479014,1.651782714312271,40.38015622355956,669.4976075665707,7.174153484716704,27.64316835772255,4.677973260297564,46.63102523296639,63.19362433548328,"B",6.988698329078034
285,"Alimentación","Francia","Familiar","Grande","2015","47",73300.53884752319,44029.632156377156,29270.906691146032,73300.53884752319,85959.80888978885,13468.485256909382,15.668351792379683,13384.584782557155,"1.23",45.72658074375869,18.25987229152466,1.5042114212914148,1794.2806932266317,5518.059556725096,6.419348330334159,41.584470025634054,0.7225766157219713,43.12246403264102,73.78785284072512,"CC",11.368306819349527
26,"Transporte","España","Familiar","Mediana","1981","107",2705.997320851452,1506.8295628993217,1199.1677579521304,2705.997320851452,3699.4283649843883,360.9494030996151,9.756896673984883,201.51061583789104,"1.51",16.8042056252429,7.446815053552418,1.2565627727288118,11.19590366394102,287.0040374503462,7.758064466577592,NA,3.396093262748717,46.691547553508585,63.264359888036154,"CCC",29.85913947224617
171,"Construcción","Francia","Familiar","Grande","1991","87",6314.062464547402,2159.2208185761874,4154.841645971214,6314.062464547402,1956.1948302290277,411.3168176251287,21.026372796260404,241.176913788857,"1.14",5.804719754427145,3.8196789332229835,0.5196878732237361,28.322553108800964,112.44029170736205,5.747908642320548,31.295133779072387,2.5046217952026026,72.6784045762785,0,"CCC",13.132674740627408
161,"MANUFACTURA","España","Sociedad Limitada","Metrópolis","2008","30",1339.271153048408,817.4155348873857,521.8556181610223,1339.271153048408,15705.811649931915,279.98951201288133,14.841394350041893,175.30414982024135,"2",33.59246192232235,13.089518834271866,1.5663633894905513,7.0267318742230245,39.617654920129915,2.100011659959872,35.794658473967196,6.429519035230549,45.78426880954382,40.97660153346486,"A",1.2944568177917972
145,"Manufactura","Francia","Sociedad Anónima","Grande","2015","34",1559.8170864102472,746.1553312039566,813.6617552062905,1559.8170864102472,12837.664832149037,471.095707820589,31.89956347287175,NA,"1.55",NA,26.796313531442856,0.9170337998924151,82.829350389436,7.965662822090697,0.5393833197341467,20.728998623666147,5.477352760913415,94.10541613075107,48.98552135861497,"BBB",2.4939768742769957
